ref,price,address,sq,phone,podSnos,by_owner,lat,lng
https://www.cian.ru/rent/commercial/292193785,698400,"Москва, НАО (Новомосковский), Сосенское поселение, Николо-Хованское деревня, уч12",116.4,+79067948343,False,False,55.587662,37.433472
https://www.cian.ru/rent/commercial/293116233,21000,"Москва, СВАО, р-н Марьина роща, Стоун Савеловская бизнес-квартал, 1",765.4,+79654488696,False,False,55.797022,37.595132
https://www.cian.ru/rent/commercial/290449818,300000,"Москва, НАО (Новомосковский), Сосенское поселение, Николо-Хованское деревня, уч12",50.9,+79067948343,False,False,55.587662,37.433472
https://www.cian.ru/rent/commercial/296309324,21800,"Москва, ЦАО, р-н Замоскворечье, 1-й Люсиновский пер., 3Б",420.0,+79857000480,False,False,55.727526,37.621741
https://www.cian.ru/rent/commercial/284355419,535184,"Москва, НАО (Новомосковский), Сосенское поселение, Николо-Хованское деревня, уч12",488.9,+79067948343,False,False,55.587662,37.433472
https://www.cian.ru/rent/commercial/283705931,10000,"Москва, ВАО, р-н Новокосино, Городецкая ул., 8А",661.0,+79067951146,False,False,55.739265,37.864968
https://www.cian.ru/rent/commercial/275309547,45600,"Москва, ЦАО, р-н Тверской, 4-й Лесной пер., 4",221.0,+79855039176,False,False,55.779064,37.586922
https://www.cian.ru/rent/commercial/295682178,19038,"Москва, ЮЗАО, р-н Ломоносовский, Ленинский просп., 78",428.6,+79031077567,False,False,55.682529,37.535996
https://www.cian.ru/rent/commercial/288785932,376739,"Москва, НАО (Новомосковский), Сосенское поселение, Николо-Хованское деревня, уч12",59.8,+79067948343,False,False,55.587662,37.433472
https://www.cian.ru/rent/commercial/292127903,40000,"Москва, СВАО, р-н Марьина роща, Стоун Савеловская бизнес-квартал, 1",162.5,+79654488696,False,False,55.797022,37.595132
https://www.cian.ru/rent/commercial/292417938,329933,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 95/2",70.7,+79683639448,False,False,55.830959,37.401026
https://www.cian.ru/rent/commercial/295092264,576111,"Москва, САО, р-н Беговой, ул. 1-я Ямского Поля, 1к1",58.6,+79857425149,False,False,55.779271,37.581676
https://www.cian.ru/rent/commercial/296318975,250000,"Москва, ЦАО, р-н Хамовники, ул. Льва Толстого, 23к7с3",65.3,+79660507288,False,False,55.735495,37.584146
https://www.cian.ru/rent/commercial/284411630,1584885,"Москва, НАО (Новомосковский), Сосенское поселение, Николо-Хованское деревня, уч12",994.7,+79067948343,False,False,55.587662,37.433472
https://www.cian.ru/rent/commercial/290509398,280000,"Москва, САО, р-н Беговой, Бумажный проезд, 4",65.2,+79660547572,False,False,55.786349,37.586437
https://www.cian.ru/rent/commercial/291258022,342000,"Москва, НАО (Новомосковский), Сосенское поселение, Николо-Хованское деревня, уч12",60.0,+79067948343,False,False,55.587662,37.433472
https://www.cian.ru/rent/commercial/284355421,167349,"Москва, НАО (Новомосковский), Сосенское поселение, Николо-Хованское деревня, уч12",148.7,+79067948343,False,False,55.587662,37.433472
https://www.cian.ru/rent/commercial/295111990,16000,"Москва, ЗАО, р-н Тропарево-Никулино, просп. Вернадского, 105",114.6,+79031035931,False,False,55.662882,37.485601
https://www.cian.ru/rent/commercial/295682162,51220,"Москва, ЦАО, р-н Хамовники, ул. Остоженка, 3/14",492.0,+79031077567,False,False,55.743857,37.60196
https://www.cian.ru/rent/commercial/292145176,685500,"Москва, САО, р-н Беговой, ул. 1-я Ямского Поля, 1к1",129.5,+79857425149,False,False,55.779271,37.581676
https://www.cian.ru/rent/commercial/292145178,685500,"Москва, САО, р-н Беговой, ул. 1-я Ямского Поля, 1к1",129.5,+79857425149,False,False,55.779271,37.581676
https://www.cian.ru/rent/commercial/295682170,54545,"Москва, ЮЗАО, р-н Академический, Новочеремушкинская ул., 17",220.0,+79031077567,False,False,55.683498,37.583886
https://www.cian.ru/rent/commercial/296357827,301000,"Москва, ЦАО, р-н Басманный, Семеновская наб., 3/1К4",197.7,+79122804323,False,False,55.778051,37.704529
https://www.cian.ru/rent/commercial/291096723,35000,"Москва, САО, р-н Беговой, Бумажный проезд, 19с2",547.8,+79623651167,False,False,55.789861,37.585628
https://www.cian.ru/rent/commercial/295092258,479765,"Москва, САО, р-н Беговой, ул. 1-я Ямского Поля, 1к1",48.8,+79857425149,False,False,55.779271,37.581676
https://www.cian.ru/rent/commercial/292417937,322000,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 95/2",69.0,+79683639448,False,False,55.830959,37.401026
https://www.cian.ru/rent/commercial/290598956,110000,"Москва, САО, р-н Беговой, Бумажный проезд, 19с2",330.5,+79623651167,False,False,55.789861,37.585628
https://www.cian.ru/rent/commercial/295327808,799500,"Москва, ЦАО, р-н Тверской, Новослободская ул., 31С2",350.0,+79660601238,False,False,55.781955,37.596974
